raceId,driverId,lapNumber,compound
2025_R01,ALB,47.0,INTERMEDIATE
2025_R01,ALB,48.0,INTERMEDIATE
2025_R01,ALB,49.0,INTERMEDIATE
2025_R01,ALB,50.0,INTERMEDIATE
2025_R01,ALB,51.0,INTERMEDIATE
2025_R01,ALB,52.0,INTERMEDIATE
2025_R01,ALB,53.0,INTERMEDIATE
2025_R01,ALB,54.0,INTERMEDIATE
2025_R01,ALB,55.0,INTERMEDIATE
2025_R01,ALB,56.0,INTERMEDIATE
2025_R01,ALB,57.0,INTERMEDIATE
2025_R01,HUL,1.0,INTERMEDIATE
2025_R01,HUL,2.0,INTERMEDIATE
2025_R01,HUL,3.0,INTERMEDIATE
2025_R01,HUL,4.0,INTERMEDIATE
2025_R01,HUL,5.0,INTERMEDIATE
2025_R01,HUL,6.0,INTERMEDIATE
2025_R01,HUL,7.0,INTERMEDIATE
2025_R01,HUL,8.0,INTERMEDIATE
2025_R01,HUL,9.0,INTERMEDIATE
2025_R01,HUL,10.0,INTERMEDIATE
2025_R01,HUL,11.0,INTERMEDIATE
2025_R01,HUL,12.0,INTERMEDIATE
2025_R01,HUL,13.0,INTERMEDIATE
2025_R01,HUL,14.0,INTERMEDIATE
2025_R01,HUL,15.0,INTERMEDIATE
2025_R01,HUL,16.0,INTERMEDIATE
2025_R01,HUL,17.0,INTERMEDIATE
2025_R01,HUL,18.0,INTERMEDIATE
2025_R01,HUL,19.0,INTERMEDIATE
2025_R01,HUL,20.0,INTERMEDIATE
2025_R01,HUL,21.0,INTERMEDIATE
2025_R01,HUL,22.0,INTERMEDIATE
2025_R01,HUL,23.0,INTERMEDIATE
2025_R01,HUL,24.0,INTERMEDIATE
2025_R01,HUL,25.0,INTERMEDIATE
2025_R01,HUL,26.0,INTERMEDIATE
2025_R01,HUL,27.0,INTERMEDIATE
2025_R01,HUL,28.0,INTERMEDIATE
2025_R01,HUL,29.0,INTERMEDIATE
2025_R01,HUL,30.0,INTERMEDIATE
2025_R01,HUL,31.0,INTERMEDIATE
2025_R01,HUL,32.0,INTERMEDIATE
2025_R01,HUL,33.0,INTERMEDIATE
2025_R01,HUL,34.0,MEDIUM
2025_R01,HUL,35.0,MEDIUM
2025_R01,HUL,36.0,MEDIUM
2025_R01,HUL,37.0,MEDIUM
2025_R01,HUL,38.0,MEDIUM
2025_R01,HUL,39.0,MEDIUM
2025_R01,HUL,40.0,MEDIUM
2025_R01,HUL,41.0,MEDIUM
2025_R01,HUL,42.0,MEDIUM
2025_R01,HUL,43.0,MEDIUM
2025_R01,HUL,44.0,MEDIUM
2025_R01,HUL,45.0,INTERMEDIATE
2025_R01,HUL,46.0,INTERMEDIATE
2025_R01,HUL,47.0,INTERMEDIATE
2025_R01,HUL,48.0,INTERMEDIATE
2025_R01,HUL,49.0,INTERMEDIATE
2025_R01,HUL,50.0,INTERMEDIATE
2025_R01,HUL,51.0,INTERMEDIATE
2025_R01,HUL,52.0,INTERMEDIATE
2025_R01,HUL,53.0,INTERMEDIATE
2025_R01,HUL,54.0,INTERMEDIATE
2025_R01,HUL,55.0,INTERMEDIATE
2025_R01,HUL,56.0,INTERMEDIATE
2025_R01,HUL,57.0,INTERMEDIATE
2025_R01,LAW,1.0,INTERMEDIATE
2025_R01,LAW,2.0,INTERMEDIATE
2025_R01,LAW,3.0,INTERMEDIATE
2025_R01,LAW,4.0,INTERMEDIATE
